#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
042B,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,16-Nov,2sqrt (34),25/98,(2pi-3sqrt3)/4,,,1,1,1,1,0,1,1,1,,,0:02:41,0:03:44,0:06:14,0:35:26,0:43:25,0:42:50,0:41:39,0:23:28,0:48:01,
188A,4,4/14/2024 14:00,47,6-2\sqrt{3},\frac{\sqrt{679}}{14},4\sqrt{3},3-Feb,17,25/98,1,3,1,1,1,0,1,0,0,1,0,0,0,0:04:14,0:08:14,0:13:58,0:23:10,0:37:00,0:46:10,0:44:46,0:46:02,0:45:50,0:45:59
294D,3,4/14/2024 14:05,47,6-2sqrt3,sqrt7/14,12,12,12,12,12,12,12,1,1,1,0,0,0,0,0,0,0,0:07:37,0:16:25,0:48:13,0:48:10,0:46:18,0:46:17,0:46:16,0:46:14,0:46:13,0:46:13
191A,0,4/14/2024 14:00,40,4,(sqrt(6)-1)/2,sqrt61,,,3-Jan,pi,,,0,0,0,0,,,0,0,,,0:47:41,0:06:58,0:33:12,0:35:21,0:30:33,0:27:48,0:43:38,0:46:19,,
018A,0,4/14/2024 14:03,61,1.7,1.4,√11163,1:01,132,143,3,98,231,0,0,0,0,0,0,0,0,0,0,0:09:26,0:12:54,0:18:55,0:20:57,0:21:24,0:37:52,0:40:00,0:37:18,0:37:07,0:37:11
114C,3,4/14/2024 14:01,47,6-2sqrt3,sqrt7/14,5sqrt3,,,5,23,12,4,1,1,1,0,,,0,0,0,0,0:02:57,0:09:39,0:15:53,0:29:03,0:45:57,,0:49:40,0:49:47,0:49:51,0:49:56
347D,1,4/14/2024 14:00,57,6-2sqrt3,(sqrt(679-84sqrt22))/28,(-sqrt3 + sqrt(4sqrt61 - 1))/2,,,,,,,0,1,0,0,,,,,,,0:02:19,0:05:29,0:24:58,0:37:24,,,0:43:38,,,
154C,5,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),Mar-50,12,Jan-50,pi/2 - sqrt(3)/4,19,sqrt(3)/3,1,1,1,1,0,0,0,0,1,0,0:06:16,0:08:47,0:16:47,0:35:09,0:48:47,0:48:51,0:48:09,0:39:37,0:48:59,0:49:17
282B,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,sqrt(60-sqrt3),,2sqrt34,25/98,,,,1,1,1,0,,1,1,,,,0:06:06,0:10:09,0:10:18,0:34:37,,0:48:41,0:49:57,,,
200C,2,4/14/2024 14:00,47,6-2√3,45/28,,,2(√370)/3,,pi/2+(3√3)/4,,,1,1,0,,,0,,0,,,0:10:51,0:12:31,0:31:45,,,0:40:19,0:40:18,0:46:26,,
153B,2,4/14/2024 14:00,47,6-2sqrt3,,(5sqrt39 - sqrt3)/2,11-Oct,6,3-Jan,,,4-Mar,1,1,,0,0,0,0,,,0,0:03:53,0:06:47,,0:16:08,0:22:30,0:26:32,0:33:39,,,0:39:20
210D,7,4/14/2024 14:03,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,2sqrt(34),(50-5sqrt(2))/98,(2pi-3sqrt(3))/4,7,sqrt(3)/2,1,1,1,1,1,1,0,1,0,0,0:00:58,0:02:44,0:04:55,0:15:40,0:24:08,0:27:30,0:48:49,0:49:44,0:49:18,0:49:24
325D,0,4/14/2024 14:00,70,6+2sqrt3,sqrt26/28,,,,,,,1,0,0,0,,,,,,,0,0:08:42,0:13:42,0:39:48,0:49:58,,,,,,0:49:26
317B,0,4/14/2024 14:33,24,√12,(3/2) + (√3/2),,,,,,,4,0,0,0,,,,,,,0,0:20:24,0:20:04,0:21:40,,,,,,,0:18:21
154D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,5-Apr,2sqrt34 ,8-Jan,pi/2-(3sqrt3)/4,16,4-Jan,1,1,1,1,0,1,0,1,0,0,0:04:23,0:07:16,0:12:02,0:23:59,0:45:58,0:35:35,0:35:37,0:39:39,0:46:23,0:49:52
265B,8,4/14/2024 14:03,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,2sqrt(34),25/98,pi/2-3sqrt(3)/4,4,9-Feb,1,1,1,1,1,1,1,1,0,0,0:01:25,0:04:48,0:07:07,0:16:35,0:16:39,0:25:06,0:25:11,0:47:36,0:47:47,0:48:03
241A,5,4/14/2024 14:02,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,33sqrt2/7,25/73,3/2(pi+arctan(-3sqrt3)-arctan(3sqrt3))-3sqrt3/4,5sqrt3,2/3sqrt((2+2sqrt3)/3),1,1,1,1,1,0,0,0,0,0,0:02:23,0:03:14,0:05:23,0:07:58,0:11:00,0:15:57,0:28:32,0:49:24,0:47:48,0:47:41
288A,6,4/14/2024 14:00,47,6 - 2sqrt3,sqrt{7}/14,4sqrt3,7-Jun,2sqrt{34},25/98,sqrt3/5,32,4-Mar,1,1,1,1,0,1,1,0,0,0,0:02:42,0:06:38,0:11:46,0:20:22,0:49:24,0:38:03,0:49:12,0:49:54,0:49:55,0:49:58
214B,0,4/14/2024 14:01,74,frac{3sqrt3}{2},r+frac{1}{2},61sqrt3,1,98,emptyset,x+frac{3}{5},,30,0,0,0,0,0,0,0,0,,0,0:23:04,0:27:13,0:24:41,0:27:21,0:29:11,0:49:21,0:46:10,0:49:42,,0:49:47
294E,8,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,pi/2-(3sqrt3)/4,sqrt201,13/12,1,1,1,1,1,1,1,1,0,0,0:02:20,0:02:25,0:04:24,0:08:35,0:15:24,0:18:40,0:23:50,0:26:23,0:48:57,0:49:19
289C,2,4/14/2024 14:01,47,6-2sqrt3,sqrt(6007)/114,36,36,36,36,36,6,6,1,1,0,0,0,0,0,0,0,0,0:23:45,0:44:06,0:19:25,0:44:33,0:44:30,0:44:28,0:44:27,0:44:26,0:44:24,0:44:18
321B,6,4/14/2024 14:00,47,6-2sqrt3,7-Jan,4sqrt3,12-Nov,2sqrt34,25/98,pi/2-3sqrt3/4,12,12,1,1,0,1,0,1,1,1,0,0,0:01:58,0:05:21,0:09:52,0:19:59,0:46:17,0:20:38,0:30:00,0:36:35,0:49:25,0:49:24
309B,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,28-Nov,2sqrt34,175/686,18pi,12,1,1,1,1,1,0,1,0,0,0,0,0:02:41,0:04:19,0:10:38,0:20:32,0:26:35,0:32:51,0:44:44,0:48:48,0:48:38,0:47:23
186A,1,4/14/2024 14:00,47,,,,,,,,,,1,,,,,,,,,,0:29:29,,,,,,,,,
152C,4,4/14/2024 14:00,2401,6-2sqrt3,sqrt7/14,4\sqrt3,14-Nov,10,,,,,0,1,1,1,1,0,,,,,0:01:51,0:06:16,0:32:17,0:17:52,0:49:02,0:49:55,,,,
240B,0,4/14/2024 14:00,32.1,,,15.62,,,,,,,0,,,0,,,,,,,0:18:43,,,0:29:24,,,,,,
205E,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,,Hello!,3/4sqrt3,1,1,1,1,1,1,1,,0,0,0:01:48,0:03:14,0:13:10,0:21:06,0:25:40,0:32:27,0:45:04,0:48:07,0:48:31,0:31:30
252A,1,4/14/2024 14:00,,6-2sqrt3,sqrt3/2,,,,,,,,,1,0,,,,,,,,,0:08:21,0:18:56,,,,,,,
119B,6,4/14/2024 14:00,47,6-2sqrt(3),(2sqrt(3)-3)/6,5sqrt(3), 11/14,2sqrt(34),25/98,pi/2-3sqrt(3)/4,,(4sqrt(3)+6)/9,1,1,0,0,1,1,1,1,,0,0:01:39,0:02:46,0:48:08,0:08:58,0:15:28,0:23:51,0:27:07,0:27:15,,0:47:03
025B,6,4/14/2024 14:00,47,6-2sqrt3,(2sqrt7-sqrt21)/7,4sqrt3,5-Apr,2sqrt34,25/98,pi/2-(3sqrt3)/4,12,47/48,1,1,0,1,0,1,1,1,0,0,0:02:24,0:04:55,0:11:34,0:16:35,0:47:15,0:33:47,0:44:15,0:22:15,0:49:22,0:23:11
039C,0,4/14/2024 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128B,1,4/14/2024 14:00,44.1,2.535,0.189,,14-Nov,,0.255,0.272,,,0,0,0,,1,,0,0,,,0:03:32,0:39:51,0:35:38,,0:43:28,,0:29:15,0:18:26,,
109C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0:06:45,0:09:12,0:33:07,0:44:36,0:44:57,0:44:58,0:45:00,0:45:01,0:45:03,0:45:08
053A,3,4/14/2024 14:00,47,6-2root2(3),6-Jan,7.5,16-Sep,12,25/98,,,,1,1,0,0,0,0,1,,,,0:06:34,0:46:34,0:48:50,0:49:05,0:49:40,0:49:50,0:31:20,,,
315B,3,4/14/2024 14:01,47,6-2sqrt3,(50sqrt61)/61,,14/11,2sqrt34,288/1225,,,(7sqrt3)/12,1,1,0,,0,1,0,,,0,0:06:09,0:06:15,0:12:43,0:20:18,0:24:49,0:31:45,0:45:11,,,0:40:20
231D,4,4/14/2024 14:00,47,6-2\sqrt{3},\sqrt(7)/14,,13/21,2\sqrt{34},24/49,pi/2-(9sqrt(3))/28,,,1,1,1,,0,1,0,0,,,0:01:34,0:02:38,0:07:35,,0:30:29,0:33:20,0:37:50,0:42:08,,
124C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,9,11-Dec,,,,,,1,1,1,0,0,,,,,,0:01:38,0:04:08,0:12:23,0:49:34,0:40:30,0:49:36,,,,
283E,8,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,\frac{2pi-3sqrt3}{4},sqrt34,25/24,1,1,1,1,1,1,1,1,0,0,0:01:40,0:02:37,0:03:57,0:08:08,0:42:04,0:12:31,0:21:38,0:47:09,0:49:56,0:49:39
033A,3,4/14/2024 14:00,47,6+2sqrt(3),sqrt(7)/14,4sqrt(3),2-Mar,,,,,,1,0,1,1,0,,,,,,0:04:41,0:10:26,0:29:21,0:29:31,0:46:27,,,,,
313C,1,4/14/2024 14:00,47,20-Sep,1/sqrt22,366^(1/4),3:05,32/3,3-Jan,0.15,,1,1,0,0,0,0,0,0,0,,0,0:03:36,0:09:01,0:17:39,0:47:42,0:48:38,0:38:11,0:38:38,0:47:26,0:46:51,0:46:05
078G,5,4/14/2024 14:00,47,6-2\sqrt{3},\sqrt{7}/14,4\sqrt{3},14-Nov,23,23,23,23,23,1,1,1,1,1,0,0,0,0,0,0:12:30,0:16:45,0:16:53,0:33:37,0:33:40,0:48:49,0:44:16,0:44:15,0:44:14,0:44:13
089C,2,4/14/2024 14:00,47,6+2sqrt3,sqrt5/14,4sqrt3,1,,1/625,pi,,(2-sqrt2+sqrt6)/3,1,0,0,1,0,,0,0,,0,0:01:27,0:02:34,0:37:35,0:40:04,0:40:16,0:40:20,0:49:20,0:44:49,0:44:46,0:44:10
342A,2,4/14/2024 14:00,47,6-2sqrt(3),(5sqrt(7))/14,(-1+sqrt(241))/2,2sqrt(34),11.5,,(3pi)/2-(9sqrt(3))/8,,sqrt(2),1,1,0,0,0,0,,0,,0,0:06:07,0:22:56,0:29:21,0:24:24,0:27:58,0:25:43,0:40:36,0:47:53,,0:49:48
290A,3,4/14/2024 14:00,47,2sqrt3,sqrt7/14,7,14-Nov,sqrt161,4-Mar,4pi/3,39/5,1,1,0,1,0,1,0,0,0,0,0,0:02:12,0:04:28,0:16:01,0:37:12,0:26:01,0:32:13,0:49:42,0:49:40,0:47:00,0:04:52
109D,0,4/14/2024 14:00,,6+sqrt(3),,,,,,,,,,0,,,,,,,,,,0:49:14,,,,,,,,
114E,5,4/14/2024 14:00,47,6-2\sqrt3,\frac{\sqrt{7}}{14},4\sqrt3,,,25/98,\pi/2 - \frac{3\sqrt2}{4},,,1,1,1,1,,,1,0,,,0:02:54,0:31:48,0:13:53,0:18:43,0:48:10,0:45:54,0:45:33,0:48:12,,
077D,0,4/14/2024 14:01,35,root2 3,2-Jan,root2 3,2:03,,,,6,,0,0,0,0,0,,,,0,,0:02:46,0:05:56,0:48:51,0:30:07,0:31:54,0:37:53,,,0:48:22,
091F,1,4/14/2024 14:00,47,2sqrt(3)-6,,sqrt(183),frac{4}{7},,,,,,1,0,,0,0,,,,,,0:05:28,0:13:05,,0:49:57,0:41:13,,,,,
273C,4,4/14/2024 14:00,47,6-2sqrt3,14-Jan,5sqrt3,1,3sqrt29,25/98,1/2pi-(3sqrt3)/4,455/28,2-Jan,1,1,0,0,0,0,1,1,0,0,0:01:18,0:46:46,0:16:00,0:14:49,0:48:10,0:21:14,0:16:45,0:32:20,0:20:26,0:48:03
005E,4,4/14/2024 14:02,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),7-Jun,,,,,,1,1,1,1,0,,,,,,0:03:40,0:09:13,0:23:41,0:31:57,0:44:40,,,,,
165A,4,4/14/2024 14:01,47,6-2\sqrt3,sqrt7/14,4\sqrt3,,,,,,,1,1,1,1,,,,,,,0:02:36,0:06:29,0:10:30,0:25:19,0:40:22,,,0:46:16,,
245C,9,4/14/2024 14:00,47,6-2sqrt3,\frac{\sqrt{7}}{14},4sqrt3,14-Nov,2sqrt{34},25/98,\frac{2pi-3sqrt3}{4},sqrt{30},\frac{6+2\sqrt{3}}{9},1,1,1,1,1,1,1,1,0,1,0:00:48,0:02:05,0:04:03,0:07:38,0:13:26,0:19:44,0:25:31,0:29:47,0:49:47,0:49:01
343C,5,4/14/2024 14:00,47,6-2\sqrt{3},\frac{2\sqrt{7}}{7},4\sqrt{3},11-Jul,\frac{8\sqrt{34}}{3},25/98,\pi/2 - \frac{3\sqrt{3}}{4},,1,1,1,0,1,0,0,1,1,,0,0:01:22,0:02:06,0:03:50,0:05:56,0:09:07,0:15:56,0:24:41,0:28:20,0:48:05,0:48:38
342B,4,4/14/2024 14:00,47,6-2sqrt3,(5sqrt7)/14,(-1+sqrt241)/2,frac{11}{14},2sqrt34,,(3pi)/2-(9sqrt3)/8,,sqrt3,1,1,0,0,1,1,,0,,0,0:06:56,0:24:23,0:29:39,0:25:15,0:23:14,0:29:28,,0:48:15,,0:49:50
165B,8,4/14/2024 14:00,47,6-2\sqrt{3},\frac{\sqrt{7}}{14},4\sqrt{3} ,\frac{11}{14},2\sqrt{34},\frac{25}{98},\frac{\pi}{2}-\frac{3\sqrt{3}}{4},,,1,1,1,1,1,1,1,1,,,0:01:29,0:04:11,0:06:58,0:17:10,0:28:00,0:33:36,0:43:18,0:39:03,,
262A,1,4/14/2024 14:00,47,2-root2(3),(3root2(6)-8root2(3))/6,234,54,124,56,2,123,,1,0,0,0,0,0,0,0,0,,0:07:55,0:24:52,0:48:40,0:48:42,0:48:45,0:48:47,0:48:49,0:48:50,0:48:52,
332C,1,4/14/2024 14:00,12+13sqrt7,6-2sqrt3,1/(2sqrt7),,,,,,,,0,1,0,,,,,,,,0:03:21,0:07:04,0:15:31,,,,,,,
320B,0,4/14/2024 14:00,28.16,2.2,0.577,13.53,3-Jan,16,7:01,4.752,9.54,0.385,0,0,0,0,0,0,0,0,0,0,0:01:38,0:03:18,0:05:17,0:06:52,0:11:02,0:14:51,0:17:16,0:43:08,0:27:46,0:43:05
081A,3,4/14/2024 14:01,47,6-2sqrt3,sqrt7/14,1/2(7sqrt5-sqrt3),1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0:02:38,0:10:45,0:19:27,0:27:27,0:49:44,0:49:46,0:49:47,0:49:48,0:49:49,0:49:50
099E,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,33/42,,2sqrt34,pi/2-(3sqrt3)/4,10,62/63,1,1,1,1,0,,0,1,0,0,0:02:38,0:04:11,0:09:31,0:15:27,0:25:38,0:29:15,0:29:20,0:34:29,0:49:44,0:48:36
133D,5,4/14/2024 14:07,47,6-(3sqrt3)/2,sqrt7/14,4sqrt3,14-Nov,(23sqrt37)/6,35/7,pi/2-(3sqrt3)/4,9,2,1,0,1,1,1,0,0,1,0,0,0:04:04,0:07:22,0:14:43,0:14:46,0:31:16,0:35:16,0:49:51,0:40:12,0:49:53,0:49:59
272D,0,4/14/2024 14:03,56.4,2\sqrt{3},\frac{\sqrt{3}}{2},\sqrt{183},1,376/33,2-Jan,2\pi + 3\sqrt{3},\frac{10\sqrt{3}}{3},4,0,0,0,0,0,0,0,0,0,0,0:04:43,0:06:32,0:15:07,0:34:32,0:42:35,0:43:42,0:43:40,0:49:34,0:48:32,0:48:57
118C,1,4/14/2024 14:01,74,2-Mar,4-Jan,sqrt(183),14-Nov,11 1/2,4-Jan,(9pi)/14,40/7,,0,0,0,0,1,0,0,0,0,,0:20:54,0:09:52,0:18:04,0:42:59,0:19:20,0:33:41,0:49:36,0:29:58,0:48:54,
097D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,14-Nov,2sqrt34,25/98,2pi,15,120,1,1,1,0,1,1,1,0,0,0,0:03:31,0:06:47,0:48:02,0:23:39,0:38:57,0:44:07,0:30:02,0:48:42,0:48:26,0:48:31
134D,0,4/14/2024 14:00,17+3sqrt83,sqrt(45/2),sqrt7/4,,,,,,,,0,0,0,,,,,,,,0:06:28,0:20:46,0:44:54,0:48:55,,,,,,
053B,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,2sqrt15,13-Nov,2sqrt41,sqrt2/5,pi/2,(6sqrt7)/2,3-Jan,1,1,1,0,0,0,0,0,0,0,0:02:09,0:04:07,0:07:50,0:11:26,0:21:35,0:29:28,0:34:03,0:25:33,0:42:28,0:21:50
144C,0,4/14/2024 14:02,,2-Jan,(√3+1)/2,√183,1,,,,,,,0,0,0,0,,,,,,0:12:10,0:12:55,0:20:16,0:28:25,0:45:57,,,,,
341C,0,4/14/2024 14:00,2sqrt(793),3sqrt3 - 6,0.04768837,,,,,,,,0,0,0,,,,,,,,0:19:21,0:04:39,0:33:26,0:37:33,,,,,,
166E,0,4/14/2024 14:00,,4sqrt3-6,,,,,,,,,,0,,,,,,,,,0:49:44,0:09:38,0:33:37,,,,,,,
186B,1,4/14/2024 14:01,47,,,,,,,,,,1,,,,,,,,,,0:29:21,,,,,,,,,
331C,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,177/688,(2pi-3sqrt3)/4,12,1,1,1,1,1,1,1,0,1,0,0,0:01:56,0:04:28,0:07:12,0:13:43,0:20:11,0:25:12,0:39:56,0:46:31,0:49:53,0:49:50
151D,0,4/14/2024 14:00,197.99,2,0.26,,69/73,,,,,,0,0,0,,0,,,,,,0:28:32,0:42:24,0:42:18,,0:48:22,,,,,
245D,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5,7-Jun,14,,,,,1,1,1,0,0,0,,,,,0:02:50,0:08:42,0:46:15,0:46:18,0:47:55,0:49:17,,,,
061B,5,4/14/2024 14:00,47,2sqrt(3),\sqrt{7}/14,5sqrt(3),14-Nov,2sqrt(34),25/98,pi-(3sqrt(3))/4,(7sqrt(3))/2,3-Apr,1,0,1,0,1,1,1,0,0,0,0:02:19,0:03:13,0:08:57,0:14:48,0:19:13,0:27:55,0:42:25,0:30:20,0:49:41,0:35:45
288C,5,4/14/2024 14:01,47,6-2sqrt3,sqrt7/14,5sqrt3,14-Nov,17,25/98,,,,1,1,1,0,1,0,1,,,,0:03:17,0:08:26,0:15:52,0:21:05,0:38:09,0:46:52,0:49:45,,,
131C,0,4/14/2024 14:00,root2 793,6root2 3 -12,2-Jan,2,1,479root2 2,(5root2 22)/4,pi/4,5,-1,0,0,0,0,0,0,0,0,0,0,0:05:54,0:12:46,0:10:19,0:14:46,0:37:55,0:18:20,0:21:39,0:23:38,0:26:01,0:26:38
165C,5,4/14/2024 14:01,47,6-2*sqrt(3),sqrt(7)/14,\frac{6*\sqrt(47)-2*\sqrt(3)}{7},7-May,2*sqrt(34),51/196,pi/2-3*sqrt(3)/4,,,1,1,1,0,0,1,0,1,,,0:03:13,0:09:25,0:09:29,0:18:45,0:23:40,0:40:24,0:40:28,0:46:35,,
342D,4,4/14/2024 14:00,47,6-2sqrt3,5sqrt7/14,(-1 +sqrt241)/2,14-Nov,2sqrt34,,3/2pi - 9sqrt3/8,,,1,1,0,0,1,1,,0,,,0:06:24,0:24:11,0:39:11,0:27:55,0:22:57,0:29:19,,0:49:01,,0:47:24
320D,0,4/14/2024 14:01,75.75,12 - 12sqrt(6).,1,sqrt183,3:04,272/193,7√245:245,(6π - 9√3)/4,11,4:01,0,0,0,0,0,0,0,0,0,0,0:00:31,0:02:16,0:02:39,0:03:13,0:03:44,0:13:42,0:06:58,0:09:58,0:07:18,0:14:19
271C,7,4/14/2024 14:00,47,6 - 2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,2sqrt(34),25/98,,,,1,1,1,1,1,1,1,,,,0:02:49,0:05:26,0:09:43,0:15:15,0:46:37,0:25:27,0:29:00,,,
234A,1,4/14/2024 14:00,47,6-(3sqrt3)/2,sqrt(5)/4,5,5,5,2-Mar,5,5,5,1,0,0,0,0,0,0,0,0,0,0:11:08,0:24:36,0:47:57,0:39:57,0:40:34,0:40:35,0:41:12,0:43:19,0:43:18,0:43:20
251C,0,4/14/2024 14:00,44,2sqrt3,sqrt6/12,11,3-Jul,14,3-May,4sqrt3,15,125/106,0,0,0,0,0,0,0,0,0,0,0:39:17,0:46:53,0:47:20,0:47:50,0:48:05,0:48:26,0:49:04,0:49:32,0:49:40,0:49:58
319B,0,4/14/2024 14:00,47sqrt2,6+2sqrt2,sqrt2/2,2sqrt15,12-May,,,3pi,5,,0,0,0,0,0,,,0,0,,0:19:25,0:15:11,0:44:14,0:38:08,0:45:31,0:45:52,,0:44:53,0:45:22,
036E,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,(61-2sqrt61)/(2sqrt61+sqrt3-2),14-Nov,3sqrt29,25/98,6-(15sqrt3)/8,18,2-Jan,1,1,1,0,1,0,1,0,0,0,0:02:13,0:03:46,0:06:51,0:16:01,0:22:37,0:28:26,0:33:53,0:40:42,0:49:56,0:49:11
023B,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/73,pi-(3sqrt3)/4,,3sqrt3,1,1,1,1,1,1,0,0,,0,0:01:35,0:05:13,0:06:49,0:12:24,0:22:27,0:38:58,0:34:17,0:44:23,0:45:40,0:45:49
328C,8,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,2sqrt(34),25/98,pi/2-\frac{3sqrt(3)}{4},,,1,1,1,1,1,1,1,1,,,0:01:36,0:04:10,0:09:16,0:15:13,0:25:27,0:34:10,0:42:51,0:47:12,,
283F,7,4/14/2024 14:01,47,6-2sqrt3,(sqrt7)/14,9sqrt3,14-Nov,2sqrt34,25/98,pi/2-(3sqrt3)/4,sqrt29,(2sqrt3)/3,1,1,1,0,1,1,1,1,0,0,0:01:09,0:04:42,0:06:29,0:09:15,0:13:47,0:18:30,0:30:04,0:32:57,0:49:55,0:49:51
347E,2,4/14/2024 14:00,47,2sqrt2,sqrt7/16,2sqrt15,5-Jun,2sqrt34,,,,,1,0,0,0,0,1,,,,,0:01:52,0:04:34,0:09:11,0:49:48,0:42:41,0:25:52,,0:40:41,,
127C,2,4/14/2024 14:05,,,sqrt(7/4),4sqrt3,14-Nov,,,,,(25sqrt3)/48,,,0,1,1,,,,,0,,,0:44:35,0:44:44,0:44:55,,,,,0:45:12
309D,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,sqrt2,sqrt2,sqrt2,sqrt2,sqrt2,12,sqrt2,1,1,1,0,0,0,0,0,0,0,0:03:24,0:06:07,0:17:45,0:49:10,0:49:16,0:49:18,0:49:19,0:49:21,0:49:29,0:49:31
018D,0,4/14/2024 14:00,48,6√2,√5,2√15,2:01,12.5,25:02:00,19,8,8:01,0,0,0,0,0,0,0,0,0,0,0:09:20,0:40:23,0:40:36,0:18:40,0:28:37,0:45:54,0:46:23,0:18:19,0:32:24,0:32:48
173A,8,4/14/2024 14:00,47,6-2sqrt3,(sqrt7)/14,4sqrt3,14-Nov,2sqrt34,25/98,(2pi-3sqrt3)/4,8,,1,1,1,1,1,1,1,1,0,,0:03:17,0:06:14,0:08:55,0:09:02,0:18:47,0:18:55,0:30:01,0:44:44,0:48:14,
246E,5,4/14/2024 14:00,47,6-2sqrt3,4sqrt7/7,4sqrt3,14-Nov,2sqrt109,25/73,pi/2-3sqrt3/4,,,1,1,0,1,1,0,0,1,,,0:01:26,0:02:39,0:07:59,0:08:01,0:13:24,0:19:25,0:23:38,0:43:15,,
118E,1,4/14/2024 14:01,74,2-Mar,4-Jan,sqrt(183),14-Nov,11.5,4-Jan,(pi*9)/14,40/7,5-Mar,0,0,0,0,1,0,0,0,0,0,0:04:58,0:17:00,0:24:45,0:48:29,0:18:32,0:33:07,0:48:43,0:41:17,0:48:54,0:49:17
301A,6,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,6sqrt(2),(10-sqrt(2))/7,(2pi-3sqrt(3))/4,,,1,1,1,1,1,0,0,1,,,0:01:25,0:38:29,0:36:18,0:27:33,0:17:40,0:49:34,0:45:08,0:10:45,0:45:18,
154E,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,8,3-Jan,sqrt6/3,12,,1,1,1,1,1,0,0,0,0,,0:02:43,0:05:00,0:10:38,0:18:19,0:33:19,0:49:22,0:49:28,0:49:39,0:49:47,
273D,4,4/14/2024 14:00,47,6-2sqrt3,14-Jan,5sqrt3,,3sqrt29,25/98,(2pi-3sqrt3)/4,,,1,1,0,0,,0,1,1,,,0:21:55,0:22:01,0:22:05,0:22:11,0:37:50,0:21:00,0:16:50,0:37:59,,0:49:59
083C,4,4/14/2024 14:00,47,6-2sqrt3,(sqrt7-sqrt3)/4,sqrt3/2,24-Jan,2sqrt34,25/98,pi/12,15/2,24/25,1,1,0,0,0,1,1,0,0,0,0:01:34,0:41:46,0:07:47,0:14:17,0:44:37,0:26:33,0:40:23,0:44:42,0:44:49,0:49:44
128C,0,4/14/2024 14:01,44.1,5.35,0.875,,,,,0.27,,,0,0,0,,,,,0,,,0:03:13,0:48:43,0:41:55,0:48:42,,,,0:49:57,,
325E,2,4/14/2024 14:00,47,6-2sqrt3,(sqrt5)/28,5sqrt2,(1+sqrt5)/2,,,,,1,1,1,0,0,0,,,,,0,0:01:42,0:05:30,0:41:31,0:49:42,0:49:50,0:49:20,0:40:57,,0:30:05,0:30:00
375A,0,4/14/2024 14:06,61,9sqrt(3)-108pi,sqrt(2)/3,sqrt(35),4-May,24,5-Jul,,,,0,0,0,0,0,0,0,,,,0:26:53,0:26:35,0:49:21,0:49:36,0:49:44,0:49:49,0:49:55,,,
306G,2,4/14/2024 14:00,44,6-2 sqrt3,sqrt7/14,6,5-Apr,,,,,3-Feb,0,1,1,0,0,,,,,0,0:21:31,0:13:40,0:19:07,0:29:37,0:41:08,,,0:47:19,,0:47:14
162B,0,4/14/2024 14:14,48,2-May,0.2,sqrt27,9-Jul,9,2023/2024,2.5pi,7,7-May,0,0,0,0,0,0,0,0,0,0,0:18:40,0:13:22,0:22:18,0:34:49,0:38:04,0:38:18,0:38:32,0:37:54,0:37:43,0:37:39
